,wellborename,completiondate,topdepth,bottomdepth,formation,corelength
0,35/3-1,26.10.1976,3805,4020,AGAT FM,0
1,35/3-2,26.10.1980,3528,3722,AGAT FM,59
2,35/3-4,06.06.1981,3345,3583,AGAT FM,97
3,35/3-5,31.03.1982,3219,3510,AGAT FM,65
4,35/3-6,02.04.2002,2955,2958,AGAT FM,0
5,35/3-7 S,01.10.2009,3596,3998,AGAT FM,51
6,35/6-2 S,04.04.2009,3015,3391,AGAT FM,0
7,35/9-3,11.11.1997,2658,2703,AGAT FM,39
8,35/9-5,07.02.2010,2975,3114,AGAT FM,0
9,36/1-1,14.06.1975,1218,1358,AGAT FM,0
10,36/1-2,27.10.1975,2815,2865,AGAT FM,0
11,36/7-3,06.01.2002,2555,2632,AGAT FM,0
12,36/7-4,26.09.2016,2428,2554,AGAT FM,117
13,01-10-04,23.11.1995,2564,2670,AGAT FM,0
14,02-11-04,28.12.1997,2700,2730,AGAT FM,0
15,01-03-05,11.02.1990,3179,3780,AGAT FM,0
16,6205/3-1 R,30.11.1990,3179,3780,AGAT FM,0
17,33/2-2 S,10.06.2015,3113,3276,ALKE FM,0
18,33/12-2,23.08.1974,3749,4048,ALKE FM,0
19,24/12-1 R,14.08.1978,4698,4774,AMUNDSEN FM,0
